timestamp,open,high,low,close,volume
2026-07-03 12:30:00,1.1046,1.1063,1.1037,1.1051,506915.8
2026-07-03 12:45:00,1.1051,1.108,1.1044,1.1077,501822.9
2026-07-03 13:00:00,1.1078,1.111,1.1078,1.111,522462.8
2026-07-03 13:15:00,1.1109,1.1155,1.1109,1.1149,729870.3
2026-07-03 13:30:00,1.115,1.1154,1.1125,1.1138,1009210.4
2026-07-03 13:45:00,1.1138,1.1144,1.1101,1.1113,904094.0
2026-07-03 14:00:00,1.1112,1.1138,1.1077,1.1095,1234140.4
2026-07-03 14:15:00,1.1096,1.1138,1.1056,1.1085,1525925.3
2026-07-03 14:30:00,1.1086,1.1132,1.1075,1.1117,1198312.8
2026-07-03 14:45:00,1.1116,1.1139,1.1116,1.1122,1184967.7
2026-07-03 15:00:00,1.1122,1.1222,1.112,1.1197,3081155.9
2026-07-03 15:15:00,1.1197,1.1238,1.118,1.1206,1474040.6
2026-07-03 15:30:00,1.1207,1.1209,1.1163,1.1192,1227877.0
2026-07-03 15:45:00,1.1191,1.1228,1.1177,1.1201,1366941.0
2026-07-03 16:00:00,1.1201,1.1216,1.1144,1.1147,2556509.0
2026-07-03 16:15:00,1.1146,1.1202,1.1146,1.117,1530398.8
2026-07-03 16:30:00,1.117,1.1183,1.1142,1.1169,1215815.4
2026-07-03 16:45:00,1.1169,1.1172,1.114,1.1151,737262.9
2026-07-03 17:00:00,1.1152,1.1215,1.1144,1.1202,1096516.1
2026-07-03 17:15:00,1.1203,1.1206,1.1164,1.1178,1010711.4
2026-07-03 17:30:00,1.1178,1.1244,1.1173,1.122,1085423.3
2026-07-03 17:45:00,1.122,1.1235,1.1205,1.1235,384086.9
2026-07-03 18:00:00,1.1235,1.1236,1.1204,1.121,808966.8
2026-07-03 18:15:00,1.121,1.1229,1.1208,1.1218,355792.2
2026-07-03 18:30:00,1.1218,1.1294,1.1206,1.1284,1285091.0
2026-07-03 18:45:00,1.1283,1.1287,1.1255,1.1269,1079958.2
2026-07-03 19:00:00,1.1269,1.1378,1.1262,1.1368,1956437.9
2026-07-03 19:15:00,1.1368,1.1453,1.1367,1.1426,2873984.4
2026-07-03 19:30:00,1.1426,1.1428,1.1351,1.1361,2446544.8
2026-07-03 19:45:00,1.136,1.136,1.131,1.1319,1581527.3
2026-07-03 20:00:00,1.1319,1.1351,1.1278,1.1349,2114500.7
2026-07-03 20:15:00,1.1349,1.1419,1.133,1.1382,1699237.8
2026-07-03 20:30:00,1.1383,1.1441,1.137,1.1394,1582084.8
2026-07-03 20:45:00,1.1394,1.142,1.1378,1.1395,1247571.2
2026-07-03 21:00:00,1.1395,1.1415,1.1346,1.1354,1064095.6
2026-07-03 21:15:00,1.1354,1.1359,1.1303,1.131,870686.4
2026-07-03 21:30:00,1.131,1.131,1.1274,1.13,726204.8
2026-07-03 21:45:00,1.13,1.1353,1.1297,1.1335,763922.4
2026-07-03 22:00:00,1.1335,1.1355,1.1294,1.1299,446574.1
2026-07-03 22:15:00,1.1298,1.131,1.1282,1.13,385045.3
2026-07-03 22:30:00,1.1299,1.1303,1.1277,1.1303,312174.6
2026-07-03 22:45:00,1.1302,1.1309,1.1286,1.1302,259836.7
2026-07-03 23:00:00,1.1303,1.1312,1.1287,1.1307,287961.2
2026-07-03 23:15:00,1.1307,1.135,1.1297,1.135,590423.4
2026-07-03 23:30:00,1.135,1.1378,1.1337,1.1373,1350025.4
2026-07-03 23:45:00,1.1372,1.1384,1.1343,1.1348,533030.1
2026-07-04 00:00:00,1.1348,1.1395,1.1336,1.1375,1306317.7
2026-07-04 00:15:00,1.1376,1.1388,1.1347,1.1379,776115.9
2026-07-04 00:30:00,1.1379,1.1404,1.1372,1.1394,474518.8
2026-07-04 00:45:00,1.1395,1.1434,1.1388,1.1417,874060.4
2026-07-04 01:00:00,1.1418,1.1418,1.1347,1.1359,1214969.2
2026-07-04 01:15:00,1.136,1.1397,1.1348,1.1373,653933.9
2026-07-04 01:30:00,1.1374,1.1404,1.135,1.1356,612219.0
2026-07-04 01:45:00,1.1356,1.136,1.1315,1.1333,746752.6
2026-07-04 02:00:00,1.1333,1.1388,1.1321,1.1371,633491.2
2026-07-04 02:15:00,1.1371,1.1374,1.1327,1.1348,317218.3
2026-07-04 02:30:00,1.1348,1.1372,1.1326,1.1369,346201.8
2026-07-04 02:45:00,1.137,1.139,1.1345,1.1357,300929.4
2026-07-04 03:00:00,1.1356,1.137,1.1321,1.1362,505480.5
2026-07-04 03:15:00,1.1362,1.1396,1.1357,1.1367,302392.3
2026-07-04 03:30:00,1.1367,1.1414,1.1347,1.1403,624690.7
2026-07-04 03:45:00,1.1403,1.1405,1.1373,1.138,298897.0
2026-07-04 04:00:00,1.138,1.1411,1.1367,1.1395,325216.4
2026-07-04 04:15:00,1.1395,1.1406,1.1366,1.1384,344688.4
2026-07-04 04:30:00,1.1383,1.1494,1.137,1.1457,1665255.9
2026-07-04 04:45:00,1.1458,1.1496,1.1449,1.148,1569809.4
2026-07-04 05:00:00,1.148,1.148,1.1412,1.1432,642379.0
2026-07-04 05:15:00,1.1433,1.1451,1.1385,1.14,819813.7
2026-07-04 05:30:00,1.1401,1.1427,1.1395,1.1419,940697.2
2026-07-04 05:45:00,1.142,1.1426,1.1377,1.1393,1046280.7
2026-07-04 06:00:00,1.1393,1.1468,1.1392,1.1428,1846158.0
2026-07-04 06:15:00,1.1428,1.1438,1.1339,1.1363,1026331.6
2026-07-04 06:30:00,1.1363,1.14,1.1363,1.1386,535563.7
2026-07-04 06:45:00,1.1385,1.1395,1.1377,1.1378,340339.3
2026-07-04 07:00:00,1.1379,1.1386,1.1349,1.1366,404215.4
2026-07-04 07:15:00,1.1365,1.1386,1.135,1.1356,327083.1
2026-07-04 07:30:00,1.1356,1.1373,1.1336,1.134,591068.6
2026-07-04 07:45:00,1.134,1.1431,1.1332,1.1396,1003479.8
2026-07-04 08:00:00,1.1395,1.1455,1.1395,1.1452,680578.5
2026-07-04 08:15:00,1.1451,1.149,1.142,1.146,1511525.7
2026-07-04 08:30:00,1.146,1.1487,1.1426,1.1426,875657.0
2026-07-04 08:45:00,1.1426,1.1453,1.1406,1.1418,531237.5
2026-07-04 09:00:00,1.1418,1.1441,1.1385,1.1423,1002703.5
2026-07-04 09:15:00,1.1423,1.1432,1.1383,1.1393,1318269.1
2026-07-04 09:30:00,1.1394,1.1395,1.135,1.1357,513047.5
2026-07-04 09:45:00,1.1357,1.1389,1.1357,1.1371,323418.4
2026-07-04 10:00:00,1.137,1.1398,1.1355,1.1391,647763.4
2026-07-04 10:15:00,1.1391,1.1416,1.1387,1.1402,276932.0
2026-07-04 10:30:00,1.1402,1.1403,1.1374,1.1395,926219.8
2026-07-04 10:45:00,1.1395,1.1426,1.139,1.1417,561365.9
2026-07-04 11:00:00,1.1416,1.1446,1.141,1.1419,676260.6
2026-07-04 11:15:00,1.1419,1.1425,1.1383,1.1394,697322.5
2026-07-04 11:30:00,1.1394,1.143,1.1394,1.1428,723812.2
2026-07-04 11:45:00,1.1428,1.1431,1.1401,1.1401,467263.7
2026-07-04 12:00:00,1.1401,1.1445,1.1401,1.143,344116.7
2026-07-04 12:15:00,1.143,1.153,1.1427,1.1525,1901193.2
2026-07-04 12:30:00,1.1526,1.1546,1.1454,1.1462,1165790.7
2026-07-04 12:45:00,1.1462,1.1485,1.1436,1.1479,711226.9
2026-07-04 13:00:00,1.1479,1.1549,1.1475,1.1518,1158142.4
2026-07-04 13:15:00,1.1517,1.1613,1.1512,1.154,2837157.2
2026-07-04 13:30:00,1.154,1.1543,1.1496,1.1513,854620.0
2026-07-04 13:45:00,1.1512,1.1536,1.1486,1.1531,608215.0
2026-07-04 14:00:00,1.1531,1.1689,1.1528,1.1661,3864681.5
2026-07-04 14:15:00,1.1661,1.1689,1.1592,1.1638,1511246.4
2026-07-04 14:30:00,1.1638,1.1744,1.1619,1.1701,3482990.7
2026-07-04 14:45:00,1.1702,1.1746,1.1656,1.1735,2601697.7
2026-07-04 15:00:00,1.1736,1.1804,1.1701,1.1707,3523027.7
2026-07-04 15:15:00,1.1707,1.1737,1.1672,1.1737,1318142.2
2026-07-04 15:30:00,1.1738,1.1766,1.1699,1.1734,1525061.8
2026-07-04 15:45:00,1.1734,1.1754,1.17,1.1724,1054817.9
2026-07-04 16:00:00,1.1724,1.1725,1.1637,1.1656,1412202.5
2026-07-04 16:15:00,1.1657,1.1714,1.1654,1.1697,1478012.2
2026-07-04 16:30:00,1.1696,1.1716,1.1671,1.1688,632933.1
2026-07-04 16:45:00,1.1688,1.1773,1.1686,1.174,1058036.1
2026-07-04 17:00:00,1.174,1.1741,1.168,1.1689,1175309.7
2026-07-04 17:15:00,1.169,1.1736,1.1683,1.1725,729186.2
2026-07-04 17:30:00,1.1725,1.1781,1.1718,1.1774,1070049.2
2026-07-04 17:45:00,1.1773,1.1843,1.1745,1.1814,2228385.6
2026-07-04 18:00:00,1.1814,1.1826,1.1783,1.1817,1446763.7
2026-07-04 18:15:00,1.1816,1.1818,1.1754,1.1771,627398.7
2026-07-04 18:30:00,1.177,1.178,1.1754,1.1759,408960.5
2026-07-04 18:45:00,1.1758,1.1773,1.1736,1.175,598490.5
2026-07-04 19:00:00,1.1749,1.1784,1.1705,1.1708,1066301.6
2026-07-04 19:15:00,1.1709,1.1741,1.1702,1.1712,663447.0
2026-07-04 19:30:00,1.1711,1.1712,1.168,1.1702,1538931.1
2026-07-04 19:45:00,1.1702,1.1704,1.1668,1.1684,533116.6
2026-07-04 20:00:00,1.1684,1.1698,1.167,1.1696,408368.5
2026-07-04 20:15:00,1.1695,1.1695,1.1597,1.1606,1947663.1
2026-07-04 20:30:00,1.1605,1.1633,1.1603,1.163,457984.5
2026-07-04 20:45:00,1.1629,1.1637,1.1615,1.1628,666879.5
2026-07-04 21:00:00,1.1628,1.165,1.1616,1.165,398159.2
2026-07-04 21:15:00,1.1649,1.1673,1.1642,1.1662,687383.6
2026-07-04 21:30:00,1.1663,1.1684,1.1658,1.1659,269121.0
2026-07-04 21:45:00,1.166,1.1679,1.1651,1.1661,363146.4
2026-07-04 22:00:00,1.1661,1.1669,1.1637,1.1649,476235.1
2026-07-04 22:15:00,1.1649,1.1652,1.1626,1.1628,759593.9
2026-07-04 22:30:00,1.1629,1.1633,1.1615,1.1627,286679.8
2026-07-04 22:45:00,1.1626,1.1636,1.1603,1.1622,471943.6
2026-07-04 23:00:00,1.1623,1.1625,1.1562,1.1568,1207509.1
2026-07-04 23:15:00,1.1568,1.1588,1.1541,1.1577,962890.8
2026-07-04 23:30:00,1.1576,1.1597,1.1574,1.1593,618210.3
2026-07-04 23:45:00,1.1594,1.1602,1.1567,1.1574,460721.7
2026-07-05 00:00:00,1.1573,1.1574,1.1537,1.1538,649840.6
2026-07-05 00:15:00,1.1537,1.1546,1.1508,1.1522,1174490.4
2026-07-05 00:30:00,1.1521,1.1527,1.1474,1.1517,1136104.9
2026-07-05 00:45:00,1.1518,1.1523,1.147,1.1495,1016078.3
2026-07-05 01:00:00,1.1495,1.1512,1.1474,1.1479,797273.3
2026-07-05 01:15:00,1.148,1.1482,1.1431,1.1464,1050392.3
2026-07-05 01:30:00,1.1464,1.1464,1.1425,1.1444,759320.0
2026-07-05 01:45:00,1.1444,1.1465,1.1432,1.1454,760291.7
2026-07-05 02:00:00,1.1454,1.1455,1.138,1.1387,1232836.2
2026-07-05 02:15:00,1.1387,1.1411,1.1358,1.1377,1390306.9
2026-07-05 02:30:00,1.1376,1.1393,1.1345,1.1345,530794.6
2026-07-05 02:45:00,1.1345,1.1374,1.1335,1.1374,766610.0
2026-07-05 03:00:00,1.1373,1.1406,1.1362,1.1403,473993.7
2026-07-05 03:15:00,1.1402,1.1409,1.1365,1.1366,1084935.2
2026-07-05 03:30:00,1.1365,1.139,1.1357,1.1374,474676.7
2026-07-05 03:45:00,1.1373,1.139,1.137,1.1384,266168.9
2026-07-05 04:00:00,1.1385,1.1391,1.1366,1.1389,479419.7
2026-07-05 04:15:00,1.1389,1.1416,1.1382,1.1415,748505.6
2026-07-05 04:30:00,1.1415,1.1424,1.1405,1.1415,542139.7
2026-07-05 04:45:00,1.1416,1.1419,1.1382,1.1382,287998.6
2026-07-05 05:00:00,1.1381,1.1381,1.1352,1.1363,350255.9
2026-07-05 05:15:00,1.1362,1.137,1.1355,1.1363,189999.1
2026-07-05 05:30:00,1.1363,1.1374,1.1329,1.134,774420.1
2026-07-05 05:45:00,1.1339,1.1371,1.1333,1.1364,283637.3
2026-07-05 06:00:00,1.1364,1.1364,1.134,1.1363,249599.9
2026-07-05 06:15:00,1.1363,1.1384,1.1351,1.1382,367941.0
2026-07-05 06:30:00,1.1381,1.1395,1.1369,1.1375,277557.0
2026-07-05 06:45:00,1.1375,1.1395,1.1371,1.1385,320727.9
2026-07-05 07:00:00,1.1385,1.1385,1.1369,1.1373,287667.7
2026-07-05 07:15:00,1.1372,1.1378,1.1356,1.1364,419604.7
2026-07-05 07:30:00,1.1364,1.1401,1.1364,1.1396,212590.4
2026-07-05 07:45:00,1.1395,1.1414,1.1388,1.1404,456467.9
2026-07-05 08:00:00,1.1403,1.1416,1.1394,1.1404,543347.9
2026-07-05 08:15:00,1.1404,1.1417,1.1379,1.1384,378512.1
2026-07-05 08:30:00,1.1384,1.1398,1.1375,1.1395,280135.9
2026-07-05 08:45:00,1.1395,1.1412,1.1382,1.1388,343857.0
2026-07-05 09:00:00,1.1388,1.1395,1.1373,1.1373,238285.0
2026-07-05 09:15:00,1.1373,1.1376,1.133,1.1335,876502.1
2026-07-05 09:30:00,1.1335,1.1345,1.1271,1.1285,2131733.6
2026-07-05 09:45:00,1.1286,1.1294,1.1262,1.1278,682981.2
2026-07-05 10:00:00,1.1277,1.1294,1.1248,1.1279,1068609.4
2026-07-05 10:15:00,1.128,1.1296,1.1271,1.1283,326807.4
2026-07-05 10:30:00,1.1284,1.1293,1.1277,1.1289,308195.0
2026-07-05 10:45:00,1.1289,1.13,1.1286,1.1294,416759.4
2026-07-05 11:00:00,1.1295,1.1315,1.1281,1.1301,325559.6
2026-07-05 11:15:00,1.1301,1.133,1.1294,1.13,473353.5
2026-07-05 11:30:00,1.1299,1.1327,1.1294,1.1322,416710.2
2026-07-05 11:45:00,1.1321,1.1334,1.1318,1.132,306530.2
2026-07-05 12:00:00,1.132,1.132,1.1288,1.1302,360728.7
2026-07-05 12:15:00,1.1303,1.1347,1.1303,1.1347,451135.6
2026-07-05 12:30:00,1.1347,1.1368,1.1338,1.1344,839339.3
2026-07-05 12:45:00,1.1344,1.1362,1.1342,1.1357,300139.7
2026-07-05 13:00:00,1.1357,1.137,1.1339,1.1354,291893.8
2026-07-05 13:15:00,1.1355,1.136,1.1309,1.1319,438987.1
2026-07-05 13:30:00,1.1318,1.1333,1.1308,1.1332,278975.2
2026-07-05 13:45:00,1.1333,1.1356,1.1333,1.1355,207320.7
2026-07-05 14:00:00,1.1356,1.1367,1.1346,1.1352,191491.0
2026-07-05 14:15:00,1.1352,1.1357,1.1336,1.1352,210370.0
2026-07-05 14:30:00,1.1352,1.138,1.1342,1.1365,272453.0
2026-07-05 14:45:00,1.1366,1.1373,1.1354,1.1372,128706.6
2026-07-05 15:00:00,1.1372,1.1414,1.1366,1.1371,907450.0
2026-07-05 15:15:00,1.1371,1.1384,1.1355,1.1359,507879.7
2026-07-05 15:30:00,1.1359,1.1394,1.135,1.135,369988.5
2026-07-05 15:45:00,1.135,1.1381,1.1347,1.137,294210.7
2026-07-05 16:00:00,1.1371,1.139,1.1367,1.137,255351.9
2026-07-05 16:15:00,1.1369,1.1381,1.1345,1.1349,584438.6
2026-07-05 16:30:00,1.1349,1.1361,1.1346,1.1355,366933.8
2026-07-05 16:45:00,1.1355,1.1362,1.134,1.1349,453273.7
2026-07-05 17:00:00,1.1349,1.1379,1.1349,1.1355,292957.4
